Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,5280.0,5360.0,5280.0,5360.0,3910.367431640625,6175000
2014-01-03,5290.0,5360.0,5240.0,5300.0,3866.593994140625,8817500
2014-01-06,5360.0,5360.0,5280.0,5350.0,3903.071044921875,6357500
2014-01-07,5350.0,5360.0,5240.0,5240.0,3822.82080078125,7055500
2014-01-08,5280.0,5315.0,5185.0,5240.0,3822.82080078125,10381500
2014-01-09,5210.0,5285.0,5185.0,5215.0,3804.582275390625,9274500
2014-01-10,5185.0,5300.0,5160.0,5180.0,3779.049072265625,11790500
2014-01-13,5300.0,5435.0,5260.0,5405.0,3943.1962890625,17524000
2014-01-15,5420.0,5690.0,5415.0,5605.0,4089.10546875,27483000
2014-01-16,5615.0,5640.0,5490.0,5560.0,4056.275390625,11031000
2014-01-17,5570.0,5570.0,5500.0,5530.0,4034.39013671875,5573000
2014-01-20,5545.0,5615.0,5520.0,5610.0,4092.75390625,4428000
2014-01-21,5640.0,5640.0,5540.0,5630.0,4107.34326171875,3699000
2014-01-22,5580.0,5715.0,5580.0,5700.0,4158.41259765625,13677500
2014-01-23,5730.0,5755.0,5645.0,5715.0,4169.35498046875,11185000
2014-01-24,5615.0,5670.0,5565.0,5615.0,4096.4013671875,9590500
2014-01-27,5490.0,5490.0,5300.0,5425.0,3957.787353515625,12475000
2014-01-28,5425.0,5610.0,5400.0,5540.0,4041.685302734375,11326000
2014-01-29,5580.0,5725.0,5580.0,5700.0,4158.41259765625,14106000
2014-01-30,5600.0,5730.0,5580.0,5710.0,4165.70849609375,17600000
2014-02-03,5680.0,5705.0,5610.0,5680.0,4143.82080078125,10174500
2014-02-04,5570.0,5615.0,5550.0,5570.0,4063.57177734375,8808500
2014-02-05,5600.0,5680.0,5595.0,5625.0,4103.6962890625,7780000
2014-02-06,5600.0,5700.0,5590.0,5640.0,4114.6396484375,14201500
2014-02-07,5695.0,5730.0,5630.0,5645.0,4118.287109375,8042500
2014-02-10,5660.0,5700.0,5620.0,5620.0,4100.04833984375,5104000
2014-02-11,5620.0,5660.0,5505.0,5520.0,4027.093994140625,15378500
2014-02-12,5550.0,5605.0,5550.0,5600.0,4085.4580078125,3756000
2014-02-13,5620.0,5640.0,5610.0,5625.0,4103.6962890625,4622000
2014-02-14,5660.0,5680.0,5615.0,5675.0,4140.17431640625,9046000
2014-02-17,5695.0,5715.0,5665.0,5675.0,4140.17431640625,8066500
2014-02-18,5675.0,5700.0,5605.0,5615.0,4096.4013671875,3825500
2014-02-19,5650.0,5680.0,5615.0,5680.0,4143.82080078125,6207500
2014-02-20,5680.0,5680.0,5610.0,5660.0,4129.22998046875,6617000
2014-02-21,5670.0,5705.0,5660.0,5680.0,4143.82080078125,9464000
2014-02-24,5680.0,5700.0,5645.0,5675.0,4140.17431640625,3862000
2014-02-25,5680.0,5690.0,5625.0,5680.0,4143.82080078125,6097500
2014-02-26,5675.0,5680.0,5605.0,5605.0,4089.10546875,9038000
2014-02-27,5605.0,5680.0,5600.0,5605.0,4089.10546875,7583500
2014-02-28,5605.0,5715.0,5595.0,5715.0,4169.35498046875,13213000
2014-03-03,5620.0,5670.0,5620.0,5655.0,4125.5830078125,3901000
2014-03-04,5635.0,5640.0,5600.0,5605.0,4089.10546875,7879000
2014-03-05,5640.0,5650.0,5620.0,5625.0,4103.6962890625,7794000
2014-03-06,5630.0,5660.0,5625.0,5660.0,4129.22998046875,5919000
2014-03-07,5670.0,5680.0,5625.0,5625.0,4103.6962890625,6462500
2014-03-10,5620.0,5660.0,5620.0,5650.0,4121.93505859375,4240000
2014-03-11,5640.0,5700.0,5615.0,5695.0,4154.76513671875,9185000
2014-03-12,5660.0,5855.0,5640.0,5800.0,4231.3671875,21607500
2014-03-13,5855.0,6115.0,5840.0,6060.0,4421.04931640625,24143500
2014-03-14,6000.0,6270.0,5925.0,6175.0,4504.94677734375,15479500
2014-03-17,6200.0,6200.0,5875.0,5945.0,4337.15087890625,13847500
2014-03-18,5990.0,6000.0,5700.0,5795.0,4227.71826171875,16249000
2014-03-19,5795.0,5895.0,5715.0,5780.0,4216.7763671875,10772500
2014-03-20,5760.0,5775.0,5600.0,5625.0,4103.6962890625,10849000
2014-03-21,5635.0,5695.0,5505.0,5625.0,4103.6962890625,13837000
2014-03-24,5640.0,5680.0,5630.0,5660.0,4129.22998046875,7412000
2014-03-25,5625.0,5680.0,5620.0,5650.0,4121.93505859375,5253500
2014-03-26,5660.0,5800.0,5660.0,5745.0,4191.24169921875,8464500
2014-03-27,5740.0,5800.0,5710.0,5740.0,4187.5947265625,11503500
2014-03-28,5740.0,5900.0,5740.0,5850.0,4267.84375,15810000
2014-04-01,5900.0,6040.0,5900.0,6000.0,4377.2763671875,18885500
2014-04-02,6000.0,6010.0,5925.0,5985.0,4366.33251953125,9913000
2014-04-03,5990.0,6020.0,5980.0,6000.0,4377.2763671875,11419500
2014-04-04,6000.0,6015.0,5820.0,5880.0,4289.73046875,4159000
2014-04-07,5890.0,6000.0,5880.0,5990.0,4369.98046875,10629500
2014-04-08,5920.0,5970.0,5910.0,5935.0,4329.85595703125,8002000
2014-04-09,5935.0,5935.0,5935.0,5935.0,4329.85595703125,0
2014-04-10,5940.0,5960.0,5840.0,5910.0,4311.61669921875,10012000
2014-04-11,5800.0,6105.0,5780.0,6105.0,4453.87841796875,11759500
2014-04-14,5965.0,6160.0,5965.0,6150.0,4486.7080078125,6889000
2014-04-15,6170.0,6195.0,6035.0,6135.0,4475.76513671875,5066500
2014-04-16,6180.0,6180.0,6020.0,6020.0,4391.8662109375,5473500
2014-04-17,6080.0,6160.0,6060.0,6160.0,4494.00390625,6067500
2014-04-21,6160.0,6185.0,6140.0,6140.0,4479.41259765625,2746000
2014-04-22,6140.0,6165.0,6090.0,6165.0,4497.65087890625,4972000
2014-04-23,6150.0,6170.0,5995.0,5995.0,4373.62841796875,4316000
2014-04-24,6000.0,6095.0,5810.0,5860.0,4275.14013671875,12060500
2014-04-25,5910.0,5910.0,5805.0,5805.0,4235.015625,9538500
2014-04-28,5800.0,5805.0,5700.0,5715.0,4169.35498046875,15163000
2014-04-29,5715.0,5850.0,5715.0,5800.0,4231.3671875,7823000
2014-04-30,5890.0,5890.0,5835.0,5850.0,4267.84375,6525000
2014-05-02,5760.0,5870.0,5760.0,5840.0,4260.548828125,3765000
2014-05-05,5840.0,6000.0,5840.0,5945.0,4337.15087890625,6503000
2014-05-06,5950.0,5950.0,5870.0,5875.0,4286.0830078125,2002000
2014-05-07,5950.0,6080.0,5900.0,6045.0,4410.1064453125,9430500
2014-05-08,6080.0,6095.0,6005.0,6080.0,4435.64013671875,6035000
2014-05-09,6080.0,6150.0,6030.0,6150.0,4486.7080078125,8003500
2014-05-12,6100.0,6150.0,6095.0,6115.0,4461.17333984375,8618000
2014-05-13,6115.0,6160.0,5950.0,6040.0,4406.4580078125,6557000
2014-05-14,6040.0,6160.0,6040.0,6160.0,4494.00390625,9854500
2014-05-16,6120.0,6160.0,6050.0,6160.0,4494.00390625,9577500
2014-05-19,6100.0,6170.0,6000.0,6100.0,4450.23095703125,10479000
2014-05-20,5920.0,6100.0,5845.0,5920.0,4318.91259765625,18308500
2014-05-21,6000.0,6010.0,5880.0,6000.0,4377.2763671875,9348500
2014-05-22,6005.0,6040.0,6000.0,6005.0,4380.923828125,6945500
2014-05-23,6005.0,6095.0,5980.0,6005.0,4380.923828125,5145500
2014-05-26,6025.0,6080.0,5985.0,6025.0,4395.51513671875,2632000
2014-05-28,6040.0,6070.0,6020.0,6040.0,4406.4580078125,4376000
2014-05-30,5825.0,6090.0,5825.0,5825.0,4249.60498046875,16546000
2014-06-02,5950.0,5950.0,5840.0,5950.0,4340.79833984375,5471500
2014-06-03,6010.0,6030.0,5925.0,6010.0,4384.57177734375,7553500
2014-06-04,6055.0,6055.0,5905.0,6055.0,4417.40234375,5828500
2014-06-05,6095.0,6095.0,6055.0,6090.0,4442.9365234375,5789000
2014-06-06,6095.0,6100.0,6045.0,6095.0,4446.5830078125,2907500
2014-06-09,5995.0,6110.0,5980.0,5995.0,4373.62841796875,4678000
2014-06-10,6040.0,6040.0,6000.0,6040.0,4406.4580078125,4052500
2014-06-11,6095.0,6095.0,6005.0,6095.0,4446.5830078125,5481000
2014-06-12,6000.0,6090.0,5990.0,6000.0,4377.2763671875,10054500
2014-06-13,5960.0,5990.0,5940.0,5960.0,4348.09423828125,8032000
2014-06-16,5930.0,5980.0,5920.0,5930.0,4326.2080078125,11989000
2014-06-17,5900.0,5925.0,5860.0,5900.0,4304.3212890625,6562000
2014-06-18,5880.0,6000.0,5865.0,5880.0,4289.73046875,8015000
2014-06-19,5910.0,5920.0,5855.0,5910.0,4311.61669921875,14407000
2014-06-20,5975.0,5990.0,5885.0,5975.0,4359.03857421875,13152000
2014-06-23,5960.0,5975.0,5945.0,5960.0,4348.09423828125,9629500
2014-06-24,5940.0,6000.0,5940.0,5940.0,4333.50439453125,5167500
2014-06-25,5940.0,5955.0,5905.0,5940.0,4333.50439453125,2921500
2014-06-26,5960.0,5990.0,5865.0,5960.0,4348.09423828125,16508000
2014-06-27,5895.0,5920.0,5885.0,5895.0,4354.89111328125,6208000
2014-06-30,5855.0,5910.0,5855.0,5855.0,4325.34130859375,10203000
2014-07-01,5950.0,5950.0,5850.0,5950.0,4395.521484375,3644000
2014-07-02,6065.0,6065.0,5900.0,6065.0,4480.4775390625,3357500
2014-07-03,6040.0,6100.0,5990.0,6040.0,4462.00830078125,7896000
2014-07-04,6060.0,6065.0,6000.0,6060.0,4476.7841796875,5251000
2014-07-07,6180.0,6185.0,6060.0,6180.0,4565.43408203125,11751000
2014-07-08,6245.0,6270.0,6160.0,6245.0,4613.45166015625,15979000
2014-07-09,6245.0,6245.0,6245.0,6245.0,4613.45166015625,0
2014-07-10,6280.0,6600.0,6165.0,6280.0,4639.3076171875,35262500
2014-07-11,6080.0,6240.0,6020.0,6080.0,4491.55810546875,14766000
2014-07-14,6080.0,6110.0,6000.0,6080.0,4491.55810546875,5364500
2014-07-15,6275.0,6280.0,6110.0,6275.0,4635.61279296875,10220000
2014-07-16,6250.0,6320.0,6185.0,6250.0,4617.14404296875,11136500
2014-07-17,6180.0,6275.0,6040.0,6180.0,4565.43408203125,14736000
2014-07-18,6185.0,6235.0,6080.0,6185.0,4569.1259765625,6690500
2014-07-21,6220.0,6265.0,6195.0,6220.0,4594.98291015625,10001500
2014-07-22,6240.0,6275.0,6145.0,6240.0,4609.75634765625,10057000
2014-07-23,6245.0,6295.0,6240.0,6245.0,4613.45166015625,6232000
2014-07-24,6230.0,6285.0,6220.0,6230.0,4602.36962890625,4589500
2014-07-25,6150.0,6260.0,6125.0,6150.0,4543.27099609375,11312500
2014-08-04,6295.0,6295.0,5900.0,6295.0,4650.38818359375,10228500
2014-08-05,6180.0,6290.0,6155.0,6180.0,4565.43408203125,6839000
2014-08-06,6150.0,6190.0,6105.0,6150.0,4543.27099609375,5213500
2014-08-07,6155.0,6200.0,6100.0,6155.0,4546.96240234375,6530500
2014-08-08,6100.0,6200.0,6100.0,6100.0,4506.3330078125,2459500
2014-08-11,6250.0,6250.0,6175.0,6250.0,4617.14404296875,3602000
2014-08-12,6270.0,6280.0,6225.0,6270.0,4631.9189453125,4177000
2014-08-13,6400.0,6400.0,6250.0,6400.0,4727.95556640625,8259000
2014-08-14,6395.0,6400.0,6260.0,6395.0,4724.26220703125,7801500
2014-08-15,6380.0,6400.0,6355.0,6380.0,4713.181640625,1131000
2014-08-18,6300.0,6400.0,6295.0,6300.0,4654.08154296875,2859500
2014-08-19,6290.0,6355.0,6270.0,6290.0,4646.69482421875,5968500
2014-08-20,6380.0,6390.0,6295.0,6380.0,4713.181640625,2394000
